Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,m12,m21,T1,T2)
sec_contact_asym_mig	Round_1_Replicate_1	-79115.37	158242.74	210819.99	121846.28	1.1683,0.5704,0.1166,0.8296,0.082,0.4016
sec_contact_asym_mig	Round_1_Replicate_2	-197953.58	395919.16	1114547.65	123562.94	2.8127,0.5878,0.1577,0.1633,0.1562,0.0787
sec_contact_asym_mig	Round_1_Replicate_3	-66881.28	133774.56	236676.3	56824.76	1.422,2.8903,0.4481,0.1543,0.224,1.904
sec_contact_asym_mig	Round_1_Replicate_4	-554338.95	1108689.9	5718340.87	85052.36	1.6732,0.2754,0.7352,0.0629,1.9465,0.7205
sec_contact_asym_mig	Round_1_Replicate_5	-222208.43	444428.86	2910710.2	123512.39	1.911,0.7592,1.1233,1.9465,0.1658,0.0733
sec_contact_asym_mig	Round_1_Replicate_6	-79090.94	158193.88	220812.81	91837.19	1.3989,0.7425,0.2382,0.9476,0.2934,1.0378
sec_contact_asym_mig	Round_1_Replicate_7	-153543.68	307099.36	849463.02	67343.5	0.5417,2.8903,0.3136,0.1867,1.8465,0.1832
sec_contact_asym_mig	Round_1_Replicate_8	-79404.09	158820.18	252060.2	49981.4	2.8255,2.9299,0.1135,0.3358,1.6808,0.3392
sec_contact_asym_mig	Round_1_Replicate_9	-483997.49	968006.98	2771386.39	63331.47	2.97,0.2802,0.4499,0.2705,1.98,1.98
sec_contact_asym_mig	Round_1_Replicate_10	-136433.75	272879.5	1385882.0	97961.57	1.0168,2.5165,0.6117,0.904,0.1563,0.3736
sec_contact_asym_mig	Round_2_Replicate_1	-28776.17	57564.34	71298.19	90354.06	0.6477,1.4607,0.5246,0.2637,0.0415,1.4594
sec_contact_asym_mig	Round_2_Replicate_2	-32812.23	65636.46	85914.94	74055.36	0.6775,1.9549,0.5389,0.155,0.2778,1.847
sec_contact_asym_mig	Round_2_Replicate_3	-44120.55	88253.1	123983.29	76711.22	1.0304,2.08,0.5451,0.0827,0.6013,0.7078
sec_contact_asym_mig	Round_2_Replicate_4	-33412.01	66836.02	98752.49	96868.46	0.9013,2.0872,0.0759,0.1857,0.193,0.4421
sec_contact_asym_mig	Round_2_Replicate_5	-52080.1	104172.2	169853.69	50877.33	1.7705,2.9781,0.134,0.1524,0.5345,1.9856
sec_contact_asym_mig	Round_2_Replicate_6	-40775.23	81562.46	110065.37	87109.14	1.2158,1.9472,0.1648,0.0571,0.0783,0.7283
sec_contact_asym_mig	Round_2_Replicate_7	-45517.77	91047.54	122060.79	73594.42	1.0797,2.0658,0.3059,0.0206,0.0727,1.4
sec_contact_asym_mig	Round_2_Replicate_8	-154476.46	308964.92	1389910.89	71970.6	1.6747,2.9449,0.9647,0.0232,0.1005,0.8843
sec_contact_asym_mig	Round_2_Replicate_9	-37769.67	75551.34	100949.1	83030.43	0.9522,2.0568,0.1387,0.0538,0.128,0.94
sec_contact_asym_mig	Round_2_Replicate_10	-53228.07	106468.14	189309.6	86331.13	0.601,2.9297,1.1347,0.0374,0.42,0.4382
sec_contact_asym_mig	Round_3_Replicate_1	-20498.18	41008.36	43227.43	134031.81	0.4792,0.9041,0.2723,0.2652,0.0136,0.4403
sec_contact_asym_mig	Round_3_Replicate_2	-21792.81	43597.62	52400.75	118082.84	0.5589,1.4055,0.2416,0.0131,0.0112,0.469
sec_contact_asym_mig	Round_3_Replicate_3	-31767.17	63546.34	86363.08	79352.69	0.991,1.6437,0.2348,0.2996,0.0104,1.5423
sec_contact_asym_mig	Round_3_Replicate_4	-22947.23	45906.46	48121.86	134417.95	0.3928,0.9512,0.7771,0.3471,0.1555,0.376
sec_contact_asym_mig	Round_3_Replicate_5	-21555.55	43123.1	47593.54	127026.01	0.4192,1.1686,0.8741,0.1873,0.3199,0.1796
sec_contact_asym_mig	Round_4_Replicate_1	-19264.84	38541.68	43267.97	123306.95	0.5213,1.1339,0.3461,0.2013,0.0228,0.5029
sec_contact_asym_mig	Round_4_Replicate_2	-19677.76	39367.52	44329.75	124697.66	0.5407,1.1188,0.2133,0.1933,0.01,0.4693
sec_contact_asym_mig	Round_4_Replicate_3	-19211.25	38434.5	43041.82	123623.31	0.5193,1.1304,0.3495,0.1992,0.1265,0.3934
sec_contact_asym_mig	Round_4_Replicate_4	-20260.69	40533.38	47716.01	112009.97	0.5839,1.2815,0.3929,0.213,0.0166,0.6874
sec_contact_asym_mig	Round_4_Replicate_5	-19349.9	38711.8	41959.29	129228.59	0.4852,1.0367,0.3996,0.2261,0.2123,0.2533
