Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-97246.92	194503.84	230503.51	218694.29	0.2058,0.1601,0.239,1.9398,0.1562
asym_mig	Round_1_Replicate_2	-129269.3	258548.6	640434.65	140563.21	0.2687,2.8188,0.0661,1.781,0.2446
asym_mig	Round_1_Replicate_3	-107499.49	215008.98	537808.91	99385.35	0.3647,1.6412,1.8581,1.1054,1.6647
asym_mig	Round_1_Replicate_4	-140785.47	281580.94	741976.04	129666.47	0.2251,2.0073,0.8407,1.6094,0.8237
asym_mig	Round_1_Replicate_5	-154722.1	309454.2	1818972.76	110261.25	0.719,2.5658,1.1417,0.9816,0.3837
asym_mig	Round_1_Replicate_6	-200339.53	400689.06	966446.79	128777.91	0.874,0.3866,1.9324,1.9711,1.9518
asym_mig	Round_1_Replicate_7	-356329.57	712669.14	28378017.93	120920.39	2.8746,1.6469,0.2549,0.7802,0.1711
asym_mig	Round_1_Replicate_8	-178736.56	357483.12	1383682.07	96311.62	0.4376,2.7822,0.1242,1.1277,1.809
asym_mig	Round_1_Replicate_9	-404203.37	808416.74	1366638.16	172831.34	0.1603,0.3285,0.0944,0.2897,1.98
asym_mig	Round_1_Replicate_10	-290652.67	581315.34	1896070.75	104483.44	0.2004,2.8746,0.059,0.0988,0.7629
asym_mig	Round_2_Replicate_1	-48248.25	96506.5	97198.05	185382.81	0.3016,0.3496,0.397,1.511,0.308
asym_mig	Round_2_Replicate_2	-60541.81	121093.62	126778.28	190025.6	0.2767,0.2779,0.1,1.8312,0.1846
asym_mig	Round_2_Replicate_3	-45729.85	91469.7	98178.85	167240.38	0.3341,0.5388,0.0826,1.7883,0.2896
asym_mig	Round_2_Replicate_4	-122235.99	244481.98	340625.38	164421.6	0.127,0.8875,0.791,0.6369,0.5223
asym_mig	Round_2_Replicate_5	-53080.39	106170.78	104043.49	191992.8	0.1976,0.3488,0.3688,1.3431,0.1732
asym_mig	Round_2_Replicate_6	-112266.71	224543.42	506072.42	145925.0	0.7143,0.5508,0.2251,1.6273,0.2073
asym_mig	Round_2_Replicate_7	-168253.27	336516.54	488524.13	179447.79	0.4149,0.1644,0.6156,0.8388,0.0863
asym_mig	Round_2_Replicate_8	-46597.55	93205.1	91435.46	183911.65	0.3335,0.3798,0.3692,1.7874,0.5081
asym_mig	Round_2_Replicate_9	-39929.31	79868.62	82039.45	166051.99	0.2611,0.6299,0.5289,0.9604,0.2479
asym_mig	Round_2_Replicate_10	-84870.82	169751.64	181427.56	203913.64	0.2574,0.2527,0.1215,0.8586,0.2861
asym_mig	Round_3_Replicate_1	-20269.67	40549.34	43304.83	131134.42	0.5183,0.9334,0.2345,0.2783,0.4619
asym_mig	Round_3_Replicate_2	-19280.65	38571.3	43170.37	123953.51	0.523,1.1181,0.3226,0.2088,0.5171
asym_mig	Round_3_Replicate_3	-23415.46	46840.92	50986.09	130952.01	0.5696,0.8948,0.0196,0.5819,0.4669
asym_mig	Round_3_Replicate_4	-22975.24	45960.48	49749.36	131784.66	0.5594,0.8962,0.0106,0.5202,0.4482
asym_mig	Round_3_Replicate_5	-19269.81	38549.62	43428.14	122661.19	0.524,1.1471,0.35,0.1961,0.5317
asym_mig	Round_4_Replicate_1	-19662.64	39335.28	44983.49	120487.24	0.5526,1.1867,0.2543,0.1756,0.5389
asym_mig	Round_4_Replicate_2	-20460.9	40931.8	46732.67	124997.68	0.566,1.1175,0.1306,0.2373,0.4534
asym_mig	Round_4_Replicate_3	-19266.78	38543.56	43285.95	123248.92	0.5217,1.1347,0.3454,0.2013,0.5262
asym_mig	Round_4_Replicate_4	-19266.85	38543.7	43266.03	123299.72	0.5215,1.1333,0.3453,0.2014,0.5259
asym_mig	Round_4_Replicate_5	-19266.82	38543.64	43301.93	123194.5	0.5221,1.1357,0.3458,0.2015,0.5267
