Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-296624.23	593256.46	14010819.88	123388.0	0.6816,4.8308,1.9991,0.1978
sym_mig	Round_1_Replicate_2	-234771.77	469551.54	1109540.81	84700.04	0.3271,1.8966,0.079,1.9299
sym_mig	Round_1_Replicate_3	-289273.11	578554.22	1351080.1	71112.67	2.6304,0.5561,0.1372,1.9927
sym_mig	Round_1_Replicate_4	-115965.83	231939.66	521875.75	52884.24	3.1171,4.3905,0.0713,1.4019
sym_mig	Round_1_Replicate_5	-79109.56	158227.12	254499.57	137213.16	0.2468,3.6129,0.0489,0.1858
sym_mig	Round_1_Replicate_6	-190982.04	381972.08	2896454.82	88488.33	0.3066,4.6061,1.9963,1.9943
sym_mig	Round_1_Replicate_7	-198793.69	397595.38	3729028.76	71358.71	1.4131,3.4633,0.8195,1.0449
sym_mig	Round_1_Replicate_8	-451633.36	903274.72	95204437.21	67666.31	4.1349,1.8642,1.9244,0.9839
sym_mig	Round_1_Replicate_9	-123845.9	247699.8	956220.05	62625.88	0.667,4.5867,0.5747,1.9927
sym_mig	Round_1_Replicate_10	-180340.15	360688.3	1687009.85	100353.46	0.2058,4.6061,1.9963,1.9943
sym_mig	Round_2_Replicate_1	-19643.85	39295.7	44682.26	122363.74	0.5327,1.1378,0.2653,0.5458
sym_mig	Round_2_Replicate_2	-31116.5	62241.0	86263.16	118262.49	0.5473,1.8612,0.0249,0.3823
sym_mig	Round_2_Replicate_3	-63731.47	127470.94	191082.02	136871.39	0.2746,2.5648,0.0196,0.2057
sym_mig	Round_2_Replicate_4	-106665.0	213338.0	367369.59	153190.91	0.1544,4.0026,0.0103,0.098
sym_mig	Round_2_Replicate_5	-47761.22	95530.44	174396.17	115814.91	0.7132,1.9932,0.0179,0.3431
sym_mig	Round_2_Replicate_6	-31110.15	62228.3	87738.56	115876.96	0.554,1.92,0.0856,0.4129
sym_mig	Round_2_Replicate_7	-60341.64	120691.28	155287.84	155716.4	0.1951,1.2836,0.0104,0.1447
sym_mig	Round_2_Replicate_8	-71823.62	143655.24	226073.08	129862.84	0.2901,3.703,0.0102,0.2323
sym_mig	Round_2_Replicate_9	-22968.21	45944.42	53275.0	127888.5	0.5621,1.1195,0.047,0.379
sym_mig	Round_2_Replicate_10	-50920.4	101848.8	159870.42	91792.79	0.8216,3.515,0.0118,0.5978
sym_mig	Round_3_Replicate_1	-19445.85	38899.7	43661.65	123499.43	0.5444,1.0991,0.2624,0.5251
sym_mig	Round_3_Replicate_2	-19445.85	38899.7	43662.72	123497.42	0.5444,1.0991,0.2624,0.5251
sym_mig	Round_3_Replicate_3	-19448.12	38904.24	43777.64	123161.66	0.5458,1.1074,0.2599,0.5276
sym_mig	Round_3_Replicate_4	-19446.0	38900.0	43643.51	123561.06	0.5441,1.0981,0.2618,0.5244
sym_mig	Round_3_Replicate_5	-19445.85	38899.7	43665.36	123502.02	0.5443,1.0993,0.2624,0.525
sym_mig	Round_4_Replicate_1	-19445.85	38899.7	43661.68	123498.66	0.5444,1.0991,0.2624,0.5251
sym_mig	Round_4_Replicate_2	-20695.53	41399.06	47918.18	118580.34	0.534,1.1679,0.3021,0.644
sym_mig	Round_4_Replicate_3	-19445.85	38899.7	43661.0	123502.04	0.5444,1.099,0.2624,0.5251
sym_mig	Round_4_Replicate_4	-19445.85	38899.7	43662.02	123499.49	0.5444,1.0991,0.2624,0.5251
sym_mig	Round_4_Replicate_5	-19445.85	38899.7	43661.91	123499.22	0.5444,1.0991,0.2624,0.5251
