Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,m12,m21,T1,T2)
sec_contact_asym_mig	Round_1_Replicate_1	-317112.59	634237.18	20854596.5	80223.37	1.1914,2.8255,1.9632,1.9007,0.0881,0.8193
sec_contact_asym_mig	Round_1_Replicate_2	-103267.95	206547.9	427857.22	64094.22	2.8255,2.9299,0.0641,0.0914,0.346,0.7269
sec_contact_asym_mig	Round_1_Replicate_3	-180786.32	361584.64	568222.92	92162.87	2.6637,0.6239,0.0849,0.1632,0.187,0.592
sec_contact_asym_mig	Round_1_Replicate_4	-313257.18	626526.36	909259.66	176519.78	0.2848,0.2824,0.6116,0.066,0.352,1.9465
sec_contact_asym_mig	Round_1_Replicate_5	-84610.3	169232.6	284613.02	65448.71	0.7149,2.8255,1.9632,0.273,1.6381,0.2465
sec_contact_asym_mig	Round_1_Replicate_6	-157440.11	314892.22	2248454.86	60643.87	1.4925,2.6637,0.2184,1.2633,1.2793,1.3436
sec_contact_asym_mig	Round_1_Replicate_7	-407615.79	815243.58	1585498.67	130158.68	0.1321,0.5192,1.9706,0.082,1.9576,0.0805
sec_contact_asym_mig	Round_1_Replicate_8	-253185.57	506383.14	1234160.41	127501.43	1.5594,0.4548,1.6297,0.1394,0.0704,0.4387
sec_contact_asym_mig	Round_1_Replicate_9	-53070.02	106152.04	205523.72	101542.88	0.6277,2.7621,0.7002,0.0666,0.0982,0.4144
sec_contact_asym_mig	Round_1_Replicate_10	-574138.12	1148288.24	2064106.35	149941.59	0.1792,0.2088,0.1986,0.1259,1.4185,1.2285
sec_contact_asym_mig	Round_2_Replicate_1	-256505.25	513022.5	5898544.49	90670.52	2.3349,1.8806,1.4888,0.0405,0.0327,0.5268
sec_contact_asym_mig	Round_2_Replicate_2	-40783.51	81579.02	115699.13	83016.1	1.0473,2.7206,0.1478,0.0242,0.017,0.8146
sec_contact_asym_mig	Round_2_Replicate_3	-62965.24	125942.48	210513.12	100099.98	0.6353,1.6299,1.4931,0.0113,0.3117,0.5203
sec_contact_asym_mig	Round_2_Replicate_4	-67070.68	134153.36	220084.41	93075.59	0.8628,1.5992,1.0418,0.019,0.0436,0.9089
sec_contact_asym_mig	Round_2_Replicate_5	-30873.89	61759.78	63647.83	128835.81	0.3199,1.0807,1.5987,0.1149,0.2177,0.4929
sec_contact_asym_mig	Round_2_Replicate_6	-54335.79	108683.58	147058.33	88588.32	1.4477,1.5456,0.1771,0.0738,0.0742,0.7228
sec_contact_asym_mig	Round_2_Replicate_7	-63038.63	126089.26	267050.42	102727.59	0.8311,2.0095,0.7236,0.0697,0.0319,0.486
sec_contact_asym_mig	Round_2_Replicate_8	-249273.01	498558.02	5893238.59	90841.65	1.835,2.0839,1.7923,0.0208,0.011,0.5676
sec_contact_asym_mig	Round_2_Replicate_9	-31702.86	63417.72	72130.93	105426.16	0.4716,1.4081,1.1094,0.0414,0.0379,0.9764
sec_contact_asym_mig	Round_2_Replicate_10	-60384.81	120781.62	184969.62	66676.83	0.9132,2.78,0.1769,0.0216,0.0761,1.6426
sec_contact_asym_mig	Round_3_Replicate_1	-22954.45	45920.9	53451.51	112204.08	0.4986,1.4605,0.6719,0.0102,0.0361,0.617
sec_contact_asym_mig	Round_3_Replicate_2	-19379.94	38771.88	42441.62	128228.23	0.4839,1.0652,0.3754,0.1965,0.1122,0.3634
sec_contact_asym_mig	Round_3_Replicate_3	-19148.29	38308.58	43041.73	123752.44	0.5232,1.1344,0.343,0.2158,0.1778,0.3321
sec_contact_asym_mig	Round_3_Replicate_4	-20900.91	41813.82	45622.76	128450.29	0.4369,1.1538,0.5776,0.0101,0.0288,0.4208
sec_contact_asym_mig	Round_3_Replicate_5	-23945.59	47903.18	49113.91	139136.32	0.3355,0.9916,1.0018,0.0534,0.0103,0.4074
sec_contact_asym_mig	Round_4_Replicate_1	-19001.27	38014.54	42314.66	124663.22	0.5372,1.1081,0.377,0.3316,0.3368,0.15
sec_contact_asym_mig	Round_4_Replicate_2	-19036.07	38084.14	42868.28	123151.56	0.5369,1.1386,0.3364,0.2621,0.2813,0.2283
sec_contact_asym_mig	Round_4_Replicate_3	-19119.41	38250.82	43401.01	121876.8	0.5313,1.17,0.3735,0.2206,0.2266,0.3029
sec_contact_asym_mig	Round_4_Replicate_4	-19258.02	38528.04	43222.37	123452.5	0.5187,1.1333,0.3508,0.2,0.0491,0.4754
sec_contact_asym_mig	Round_4_Replicate_5	-19014.36	38040.72	42823.97	123453.55	0.5367,1.1412,0.3472,0.2597,0.2874,0.2119
