Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,m,T1,T2)
sec_contact_sym_mig	Round_1_Replicate_1	-227603.64	455217.28	5558547.34	83537.46	0.7582,2.2619,1.8272,0.1082,1.2558
sec_contact_sym_mig	Round_1_Replicate_2	-186102.4	372214.8	1910444.09	102919.79	2.8746,1.395,0.0912,0.0959,0.2555
sec_contact_sym_mig	Round_1_Replicate_3	-86142.16	172294.32	327961.43	39091.12	2.6671,2.9521,0.0793,1.9932,1.9059
sec_contact_sym_mig	Round_1_Replicate_4	-136681.91	273373.82	666002.73	87518.23	0.2561,2.8821,0.9715,0.317,1.9963
sec_contact_sym_mig	Round_1_Replicate_5	-178281.32	356572.64	628064.36	96487.36	2.6637,0.6387,0.3279,0.2184,0.4544
sec_contact_sym_mig	Round_1_Replicate_6	-35722.98	71455.96	110386.67	111306.71	0.5474,1.8408,0.7007,0.3947,0.1363
sec_contact_sym_mig	Round_1_Replicate_7	-107104.18	214218.36	308263.27	77357.9	2.6637,1.4286,0.1176,0.8365,0.0676
sec_contact_sym_mig	Round_1_Replicate_8	-49381.27	98772.54	149892.23	118136.85	0.3906,2.6131,0.4931,0.3085,0.0692
sec_contact_sym_mig	Round_1_Replicate_9	-215687.29	431384.58	790393.06	89407.36	2.2869,0.511,0.4115,0.7938,0.3201
sec_contact_sym_mig	Round_1_Replicate_10	-447215.29	894440.58	1685975.84	139452.79	0.3424,0.3085,0.0925,0.1544,1.9398
sec_contact_sym_mig	Round_2_Replicate_1	-91013.33	182036.66	325035.15	65174.28	2.5972,2.9552,1.5213,1.0482,0.0108
sec_contact_sym_mig	Round_2_Replicate_2	-36597.37	73204.74	94531.79	87915.29	0.9592,1.6147,0.9299,1.0069,0.0558
sec_contact_sym_mig	Round_2_Replicate_3	-31392.07	62794.14	82906.18	88948.23	0.8722,1.802,0.1653,0.6135,0.3788
sec_contact_sym_mig	Round_2_Replicate_4	-37250.27	74510.54	89267.68	107816.14	0.87,1.1226,0.0794,0.388,0.2847
sec_contact_sym_mig	Round_2_Replicate_5	-73090.48	146190.96	174644.07	116490.14	0.8374,0.7499,0.3598,0.6863,0.0481
sec_contact_sym_mig	Round_2_Replicate_6	-50658.19	101326.38	174925.47	123545.55	0.4604,2.3093,0.2064,0.1703,0.1256
sec_contact_sym_mig	Round_2_Replicate_7	-38265.01	76540.02	120102.04	104600.46	0.5628,2.3216,0.5996,0.4498,0.1207
sec_contact_sym_mig	Round_2_Replicate_8	-25253.17	50516.34	60391.54	105164.21	0.698,1.2403,0.4787,0.5664,0.291
sec_contact_sym_mig	Round_2_Replicate_9	-38091.73	76193.46	96192.88	93498.89	1.0634,1.2802,0.4009,0.6237,0.3302
sec_contact_sym_mig	Round_2_Replicate_10	-64276.86	128563.72	186220.4	77630.25	1.8212,2.2999,0.1611,0.8187,0.0368
sec_contact_sym_mig	Round_3_Replicate_1	-19428.67	38867.34	43506.83	125570.88	0.5353,1.1433,0.973,0.4175,0.0265
sec_contact_sym_mig	Round_3_Replicate_2	-19003.7	38017.4	42649.86	123900.15	0.545,1.1296,0.3775,0.358,0.1294
sec_contact_sym_mig	Round_3_Replicate_3	-22737.22	45484.44	52459.14	123423.09	0.4806,1.2424,1.7162,0.4799,0.02
sec_contact_sym_mig	Round_3_Replicate_4	-21602.36	43214.72	51461.03	108942.9	0.6735,1.237,0.3322,0.2474,0.5053
sec_contact_sym_mig	Round_3_Replicate_5	-19001.88	38013.76	42661.95	123758.11	0.5467,1.1298,0.3657,0.3535,0.1359
sec_contact_sym_mig	Round_4_Replicate_1	-19001.9	38013.8	42672.19	123721.57	0.5469,1.1305,0.3659,0.3538,0.1359
sec_contact_sym_mig	Round_4_Replicate_2	-19007.91	38025.82	42578.97	123949.33	0.5469,1.1255,0.3885,0.3643,0.1221
sec_contact_sym_mig	Round_4_Replicate_3	-19002.13	38014.26	42661.18	123768.34	0.5465,1.1303,0.3686,0.3553,0.1337
sec_contact_sym_mig	Round_4_Replicate_4	-19006.82	38023.64	42582.9	124311.68	0.5401,1.1235,0.3759,0.353,0.132
sec_contact_sym_mig	Round_4_Replicate_5	-19202.13	38414.26	43576.1	121390.5	0.5718,1.1836,0.5186,0.426,0.0701
