Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-76083.54	152177.08	162643.85	191982.84	0.3267,0.3816,1.9398,0.704,1.4295
asym_mig	Round_1_Replicate_2	-349278.4	698566.8	26278374.74	127821.86	1.9311,1.3812,0.2568,1.9398,0.1482
asym_mig	Round_1_Replicate_3	-51417.42	102844.84	100871.0	186039.29	0.2549,0.372,0.0876,1.924,0.2132
asym_mig	Round_1_Replicate_4	-161577.32	323164.64	1689512.04	76004.42	2.6724,2.9648,0.1412,0.2754,0.7017
asym_mig	Round_1_Replicate_5	-121343.67	242697.34	322421.88	120171.22	1.127,0.291,0.1794,1.6561,1.3081
asym_mig	Round_1_Replicate_6	-298115.72	596241.44	1083258.23	136976.75	2.8746,0.1936,0.0613,0.458,0.2272
asym_mig	Round_1_Replicate_7	-361705.0	723420.0	29481297.65	129117.33	2.1102,1.4586,0.7485,0.5765,0.1351
asym_mig	Round_1_Replicate_8	-309222.52	618455.04	12249661.37	125856.5	2.8746,1.124,0.2859,0.1152,0.1593
asym_mig	Round_1_Replicate_9	-612100.04	1224210.08	6328159.92	147450.98	2.9286,0.1433,1.9943,0.1418,0.4071
asym_mig	Round_1_Replicate_10	-96491.82	192993.64	338846.63	154804.86	0.1774,2.1581,0.1694,0.0862,0.1009
asym_mig	Round_2_Replicate_1	-83827.79	167665.58	185426.08	218553.85	0.2149,0.1937,0.1211,1.8692,0.2067
asym_mig	Round_2_Replicate_2	-79353.15	158716.3	292456.4	147584.43	0.3335,1.1864,0.0638,1.7883,0.2828
asym_mig	Round_2_Replicate_3	-33098.22	66206.44	68033.64	155802.78	0.4308,0.5568,0.1322,0.8769,0.3039
asym_mig	Round_2_Replicate_4	-54058.78	108127.56	107340.8	188196.18	0.1883,0.3214,0.0831,0.5047,0.1189
asym_mig	Round_2_Replicate_5	-85718.56	171447.12	506664.54	111259.83	0.7966,1.3324,0.0111,1.6792,0.7776
asym_mig	Round_2_Replicate_6	-71649.66	143309.32	147990.56	194210.56	0.1066,0.2886,0.2213,0.5782,0.0705
asym_mig	Round_2_Replicate_7	-126759.44	253528.88	418011.89	169940.89	0.1089,1.3286,0.0413,1.8615,0.0803
asym_mig	Round_2_Replicate_8	-48376.32	96762.64	95948.87	184974.83	0.2304,0.3514,0.039,0.8588,0.1598
asym_mig	Round_2_Replicate_9	-41567.93	83145.86	100307.9	147817.83	0.2962,1.0525,0.1992,0.668,0.2843
asym_mig	Round_2_Replicate_10	-77572.47	155154.94	367604.86	129566.3	0.5491,1.2353,0.0106,1.7729,0.4811
asym_mig	Round_3_Replicate_1	-19393.8	38797.6	44012.46	121026.76	0.5346,1.1475,0.3501,0.245,0.5718
asym_mig	Round_3_Replicate_2	-27190.68	54391.36	57491.57	138369.3	0.5144,0.744,0.1467,0.9089,0.5141
asym_mig	Round_3_Replicate_3	-19278.0	38566.0	43061.06	124095.08	0.5162,1.1217,0.3522,0.1919,0.5161
asym_mig	Round_3_Replicate_4	-20958.89	41927.78	45367.53	131619.6	0.4701,0.9594,0.379,0.4198,0.502
asym_mig	Round_3_Replicate_5	-20163.92	40337.84	46905.03	116767.08	0.612,1.1678,0.2806,0.3122,0.6099
asym_mig	Round_4_Replicate_1	-19266.84	38543.68	43289.62	123189.54	0.5214,1.1353,0.3481,0.2017,0.5279
asym_mig	Round_4_Replicate_2	-19266.77	38543.54	43284.6	123244.07	0.5218,1.1345,0.3455,0.2015,0.5263
asym_mig	Round_4_Replicate_3	-19266.77	38543.54	43283.48	123248.11	0.5218,1.1344,0.3455,0.2016,0.5263
asym_mig	Round_4_Replicate_4	-19266.78	38543.56	43288.97	123229.07	0.522,1.1346,0.3452,0.2019,0.5266
asym_mig	Round_4_Replicate_5	-19275.8	38561.6	43120.87	123800.75	0.5157,1.1247,0.3639,0.2005,0.5235
