Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-55147.1	110304.2	117248.16	181069.71	0.2865,0.203,0.4818,0.5437,0.0947
asym_mig	Round_1_Replicate_2	-78239.98	156489.96	309045.95	88864.38	1.2411,0.7058,1.3498,1.9214,1.9598
asym_mig	Round_1_Replicate_3	-64198.38	128406.76	169644.06	149815.98	0.9969,0.3211,0.0672,0.2237,0.1203
asym_mig	Round_1_Replicate_4	-140877.55	281765.1	328889.02	175242.66	0.1586,0.56,0.2516,0.1171,0.195
asym_mig	Round_1_Replicate_5	-76047.51	152105.02	169312.34	168755.62	0.194,0.5871,0.4822,0.3644,0.1617
asym_mig	Round_1_Replicate_6	-119049.51	238109.02	320019.24	161696.3	0.8337,0.1615,0.2255,1.2419,0.1818
asym_mig	Round_1_Replicate_7	-148369.98	296749.96	454276.19	96066.07	0.546,1.7232,0.1125,0.1657,0.9895
asym_mig	Round_1_Replicate_8	-161141.19	322292.38	3675062.67	129846.67	2.1108,1.2975,0.2021,0.1669,0.117
asym_mig	Round_1_Replicate_9	-99389.92	198789.84	694657.31	127463.54	2.132,0.6517,0.2685,1.5946,0.1721
asym_mig	Round_1_Replicate_10	-435331.76	870673.52	2387470.14	146950.32	2.9286,0.166,1.9943,0.2481,1.3465
asym_mig	Round_2_Replicate_1	-50505.65	101021.3	99067.05	180736.67	0.2102,0.2905,0.1848,0.1547,0.1002
asym_mig	Round_2_Replicate_2	-43996.87	88003.74	98986.22	156491.04	0.6217,0.332,0.5391,0.4118,0.1608
asym_mig	Round_2_Replicate_3	-61130.1	122270.2	128359.47	183389.62	0.1502,0.1515,0.1171,0.3535,0.0391
asym_mig	Round_2_Replicate_4	-62691.19	125392.38	129200.79	186344.35	0.1382,0.1539,0.1577,1.4867,0.0416
asym_mig	Round_2_Replicate_5	-45516.14	91042.28	106887.84	134821.29	1.0662,0.4293,0.3505,0.5983,0.2991
asym_mig	Round_2_Replicate_6	-38458.34	76926.68	76797.23	169953.76	0.3163,0.3072,0.1813,0.264,0.0984
asym_mig	Round_2_Replicate_7	-55804.64	111619.28	111326.93	186995.29	0.1901,0.2092,1.1829,1.4247,0.0776
asym_mig	Round_2_Replicate_8	-29824.76	59659.52	82034.2	127255.77	0.8923,0.768,1.1263,0.3062,0.3215
asym_mig	Round_2_Replicate_9	-43816.61	87643.22	87376.32	175288.27	0.2855,0.3081,1.9928,0.516,0.1243
asym_mig	Round_2_Replicate_10	-20734.08	41478.16	45775.36	138524.41	0.5329,0.7776,0.8303,0.4759,0.2786
asym_mig	Round_3_Replicate_1	-16718.38	33446.76	38536.02	124408.56	0.7239,0.9456,0.6034,0.1827,0.3646
asym_mig	Round_3_Replicate_2	-20629.73	41269.46	52917.15	106987.4	1.1086,1.2421,0.4097,0.0819,0.4656
asym_mig	Round_3_Replicate_3	-16742.3	33494.6	38684.2	123685.73	0.7652,0.9212,0.4823,0.2822,0.37
asym_mig	Round_3_Replicate_4	-16721.92	33453.84	38750.4	123791.74	0.7249,0.9624,0.6254,0.1693,0.3694
asym_mig	Round_3_Replicate_5	-16796.37	33602.74	39479.61	122910.69	0.7625,0.9807,0.5408,0.1386,0.3594
asym_mig	Round_4_Replicate_1	-17281.22	34572.44	39718.82	123807.78	0.6473,0.9816,1.0143,0.1317,0.4112
asym_mig	Round_4_Replicate_2	-16691.63	33393.26	38762.84	122986.08	0.7484,0.9523,0.5797,0.2229,0.3793
asym_mig	Round_4_Replicate_3	-16692.2	33394.4	38792.25	122884.85	0.751,0.9531,0.5786,0.2212,0.3798
asym_mig	Round_4_Replicate_4	-16967.7	33945.4	39755.0	120595.27	0.7172,0.9984,0.8336,0.1941,0.4321
asym_mig	Round_4_Replicate_5	-16724.75	33459.5	38577.61	124076.16	0.7242,0.9548,0.6014,0.1738,0.3671
