Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,m12,m21,T1,T2)
sec_contact_asym_mig	Round_1_Replicate_1	-226638.26	453288.52	748859.7	105795.71	0.1409,2.97,1.7151,1.98,1.98,1.8993
sec_contact_asym_mig	Round_1_Replicate_2	-146021.14	292054.28	2891834.11	106421.36	1.2424,2.1617,1.7698,1.9465,0.0628,0.2697
sec_contact_asym_mig	Round_1_Replicate_3	-53635.99	107283.98	169879.83	84207.33	1.1991,2.6637,0.0888,0.5209,0.3313,0.4091
sec_contact_asym_mig	Round_1_Replicate_4	-391046.61	782105.22	2180145.54	107988.16	0.1882,2.8903,0.2194,0.1791,0.4681,0.153
sec_contact_asym_mig	Round_1_Replicate_5	-466314.66	932641.32	5930762.98	72322.67	0.269,2.97,0.1948,1.4707,1.98,0.1642
sec_contact_asym_mig	Round_1_Replicate_6	-64942.73	129897.46	166497.91	93837.4	2.6637,0.94,0.3466,0.11,0.4713,0.0834
sec_contact_asym_mig	Round_1_Replicate_7	-112850.21	225712.42	577447.53	84992.55	1.7184,0.6239,1.9135,1.3622,1.152,0.6888
sec_contact_asym_mig	Round_1_Replicate_8	-160100.99	320213.98	475052.9	50635.46	0.6268,2.97,0.2585,0.1047,1.98,1.98
sec_contact_asym_mig	Round_1_Replicate_9	-259258.65	518529.3	912302.43	126248.09	2.8903,0.1622,0.4372,0.756,0.171,0.1797
sec_contact_asym_mig	Round_1_Replicate_10	-462051.81	924115.62	3270698.54	104742.5	1.4027,0.2234,0.654,0.0644,0.7913,1.9465
sec_contact_asym_mig	Round_2_Replicate_1	-32893.52	65799.04	74080.13	117744.74	0.9224,0.8077,0.332,0.4063,0.3965,0.086
sec_contact_asym_mig	Round_2_Replicate_2	-37854.0	75720.0	85889.96	75130.07	1.6007,0.8098,0.0871,1.036,0.7983,1.5319
sec_contact_asym_mig	Round_2_Replicate_3	-42753.65	85519.3	129791.74	71555.94	1.1253,1.6048,0.3718,0.67,0.6907,1.3383
sec_contact_asym_mig	Round_2_Replicate_4	-27142.06	54296.12	65100.38	100231.2	1.1858,0.8476,0.1762,1.1064,0.3013,0.5707
sec_contact_asym_mig	Round_2_Replicate_5	-29847.86	59707.72	79628.9	92792.75	1.7307,1.3751,0.0677,0.4091,0.26,0.3312
sec_contact_asym_mig	Round_2_Replicate_6	-36294.05	72600.1	97157.85	62407.1	1.5494,1.3489,0.3038,0.5574,1.069,1.6614
sec_contact_asym_mig	Round_2_Replicate_7	-38350.01	76712.02	78188.85	126293.79	0.7275,0.6234,0.0699,1.531,0.2069,0.5488
sec_contact_asym_mig	Round_2_Replicate_8	-189147.17	378306.34	704852.14	79326.58	0.7495,2.1025,0.0409,0.3628,1.1069,0.2553
sec_contact_asym_mig	Round_2_Replicate_9	-42296.79	84605.58	116126.46	70912.3	1.8856,1.3254,0.0482,0.6728,0.498,1.0089
sec_contact_asym_mig	Round_2_Replicate_10	-32595.34	65202.68	65153.11	131126.31	0.6588,0.6234,0.2053,1.3991,0.1683,0.4516
sec_contact_asym_mig	Round_3_Replicate_1	-17914.92	35841.84	41329.33	121037.51	0.8952,0.8957,0.1609,0.5848,0.1959,0.1789
sec_contact_asym_mig	Round_3_Replicate_2	-16995.43	34002.86	39106.9	123818.58	0.7897,0.9335,0.7239,0.531,0.2719,0.0755
sec_contact_asym_mig	Round_3_Replicate_3	-17520.4	35052.8	40293.75	125693.26	0.814,0.9017,0.4787,1.1305,0.2804,0.0323
sec_contact_asym_mig	Round_3_Replicate_4	-24289.19	48590.38	61659.82	94601.88	1.1437,1.0669,0.4499,0.5479,0.022,0.9116
sec_contact_asym_mig	Round_3_Replicate_5	-18572.31	37156.62	41527.96	129043.14	0.7934,0.7905,0.0104,0.6038,0.0949,0.2128
sec_contact_asym_mig	Round_4_Replicate_1	-17067.81	34147.62	39300.43	124868.02	0.7899,0.9268,1.0045,0.7025,0.2871,0.0415
sec_contact_asym_mig	Round_4_Replicate_2	-16760.25	33532.5	39430.23	121273.4	0.7632,0.9945,0.6451,0.233,0.1535,0.2351
sec_contact_asym_mig	Round_4_Replicate_3	-16771.2	33554.4	38824.97	124082.26	0.7285,0.965,0.6061,0.125,0.0262,0.3331
sec_contact_asym_mig	Round_4_Replicate_4	-17207.73	34427.46	40546.81	123029.26	0.8052,0.9916,1.3027,0.509,0.2974,0.0349
sec_contact_asym_mig	Round_4_Replicate_5	-17142.23	34296.46	39835.37	124218.97	0.783,0.9638,1.27,0.5038,0.2913,0.0378
