Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-100346.45	200698.9	307158.74	136181.94	0.2775,4.8198,0.145
no_mig	Round_1_Replicate_2	-922398.51	1844803.02	44557645.52	168855.5	0.251,0.3696,0.9884
no_mig	Round_1_Replicate_3	-505223.77	1010453.54	5832608.27	60068.63	0.6168,4.7034,1.736
no_mig	Round_1_Replicate_4	-114540.58	229087.16	1185731.42	91336.81	3.069,3.382,0.3687
no_mig	Round_1_Replicate_5	-49352.84	98711.68	164083.5	116694.23	0.7094,2.6107,0.2605
no_mig	Round_1_Replicate_6	-155345.45	310696.9	397268.87	163480.33	0.1838,0.7298,0.2213
no_mig	Round_1_Replicate_7	-552012.21	1104030.42	6736278.5	72988.36	2.8045,0.522,1.5768
no_mig	Round_1_Replicate_8	-38058.61	76123.22	107390.47	141691.82	0.8703,0.5651,0.1521
no_mig	Round_1_Replicate_9	-327263.54	654533.08	83058150.12	139902.24	2.8391,4.5696,0.0492
no_mig	Round_1_Replicate_10	-888542.5	1777091.0	43336101.04	133578.59	0.4511,0.4186,1.3838
no_mig	Round_2_Replicate_1	-23047.56	46101.12	62728.35	115324.65	0.9592,1.3959,0.3221
no_mig	Round_2_Replicate_2	-22413.64	44833.28	46497.82	146547.4	0.5023,0.6554,0.1864
no_mig	Round_2_Replicate_3	-59822.85	119651.7	156371.66	131059.31	1.7217,0.4884,0.2023
no_mig	Round_2_Replicate_4	-39105.34	78216.68	78418.41	167946.3	0.2557,0.421,0.1014
no_mig	Round_2_Replicate_5	-21621.02	43248.04	51090.27	127725.13	0.96,0.7933,0.2639
no_mig	Round_2_Replicate_6	-35115.08	70236.16	89120.37	127668.82	1.2942,0.6672,0.2365
no_mig	Round_2_Replicate_7	-35023.19	70052.38	81842.14	127325.38	1.0906,0.6254,0.3021
no_mig	Round_2_Replicate_8	-35473.04	70952.08	91264.2	104358.62	1.8187,1.114,0.4049
no_mig	Round_2_Replicate_9	-19842.46	39690.92	46138.7	132581.79	0.8056,0.7799,0.2363
no_mig	Round_2_Replicate_10	-27247.89	54501.78	56057.57	155495.97	0.4144,0.5252,0.1348
no_mig	Round_3_Replicate_1	-18795.74	37597.48	43932.76	129830.45	0.7702,0.8909,0.2577
no_mig	Round_3_Replicate_2	-18795.74	37597.48	43932.32	129830.32	0.7702,0.8909,0.2577
no_mig	Round_3_Replicate_3	-18795.74	37597.48	43932.94	129829.79	0.7703,0.8909,0.2577
no_mig	Round_3_Replicate_4	-18795.74	37597.48	43932.51	129829.57	0.7703,0.8909,0.2577
no_mig	Round_3_Replicate_5	-18795.74	37597.48	43932.96	129830.03	0.7702,0.8909,0.2577
no_mig	Round_4_Replicate_1	-18795.74	37597.48	43933.04	129829.46	0.7702,0.8909,0.2577
no_mig	Round_4_Replicate_2	-18795.74	37597.48	43933.38	129828.52	0.7703,0.891,0.2577
no_mig	Round_4_Replicate_3	-18795.74	37597.48	43933.16	129827.82	0.7703,0.891,0.2577
no_mig	Round_4_Replicate_4	-18795.74	37597.48	43933.14	129828.51	0.7703,0.8909,0.2577
no_mig	Round_4_Replicate_5	-18795.74	37597.48	43933.54	129828.43	0.7703,0.891,0.2577
