Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-44023.0	88054.0	174513.79	99721.43	1.4104,2.2441,0.1094,0.3939
sym_mig	Round_1_Replicate_2	-255897.77	511803.54	1076453.53	78699.03	0.2164,4.8308,0.8917,1.9991
sym_mig	Round_1_Replicate_3	-78968.91	157945.82	269029.86	66547.41	1.1373,3.7791,0.22,1.2332
sym_mig	Round_1_Replicate_4	-241685.42	483378.84	14289176.3	47586.71	4.6683,2.2306,1.6456,1.98
sym_mig	Round_1_Replicate_5	-68843.07	137694.14	197504.5	145511.33	0.8574,0.3629,1.9299,0.2891
sym_mig	Round_1_Replicate_6	-292151.24	584310.48	34975684.47	85965.87	4.7768,3.7873,1.9948,0.3891
sym_mig	Round_1_Replicate_7	-156366.0	312740.0	2980883.5	75021.25	2.4024,1.2428,1.8203,1.1289
sym_mig	Round_1_Replicate_8	-62510.08	125028.16	134053.05	93398.16	0.8478,0.8136,0.3645,1.9299
sym_mig	Round_1_Replicate_9	-53551.04	107110.08	167532.51	139451.25	0.7927,0.5099,1.6886,0.2871
sym_mig	Round_1_Replicate_10	-248622.12	497252.24	1291575.61	66163.86	0.3913,4.1966,0.3085,1.9532
sym_mig	Round_2_Replicate_1	-22676.34	45360.68	54695.02	110209.46	0.8961,1.2059,0.1901,0.4874
sym_mig	Round_2_Replicate_2	-22272.61	44553.22	54897.24	125005.85	0.7056,1.1911,0.0111,0.2817
sym_mig	Round_2_Replicate_3	-64934.79	129877.58	181836.36	66612.38	2.3848,2.6648,0.0321,1.0198
sym_mig	Round_2_Replicate_4	-18359.62	36727.24	44717.72	113491.95	0.9027,1.129,0.2724,0.4392
sym_mig	Round_2_Replicate_5	-83933.46	167874.92	399247.1	76185.61	3.2056,3.4217,0.0101,0.5953
sym_mig	Round_2_Replicate_6	-30143.54	60295.08	82988.82	99887.52	1.5321,1.581,0.0116,0.4408
sym_mig	Round_2_Replicate_7	-41922.4	83852.8	124993.95	96512.63	1.1581,2.6625,0.0194,0.4509
sym_mig	Round_2_Replicate_8	-34172.97	68353.94	97813.23	90413.2	1.2785,2.1935,0.1654,0.5955
sym_mig	Round_2_Replicate_9	-18956.37	37920.74	47947.77	116112.5	0.9637,1.1421,0.1499,0.3595
sym_mig	Round_2_Replicate_10	-53689.43	107386.86	142496.02	95816.5	1.3842,0.6442,0.6406,1.2193
sym_mig	Round_3_Replicate_1	-16935.29	33878.58	39110.56	123424.2	0.795,0.9012,0.3701,0.3702
sym_mig	Round_3_Replicate_2	-16935.3	33878.6	39097.61	123407.03	0.7948,0.9006,0.372,0.371
sym_mig	Round_3_Replicate_3	-16935.31	33878.62	39098.29	123434.49	0.7947,0.9009,0.3701,0.3703
sym_mig	Round_3_Replicate_4	-16935.27	33878.54	39100.99	123422.7	0.7949,0.9011,0.37,0.3703
sym_mig	Round_3_Replicate_5	-17384.85	34777.7	40535.76	126388.91	0.8056,0.8845,0.236,0.3098
sym_mig	Round_4_Replicate_1	-16935.27	33878.54	39100.34	123426.26	0.795,0.9009,0.37,0.3703
sym_mig	Round_4_Replicate_2	-16935.27	33878.54	39100.93	123426.6	0.795,0.9009,0.37,0.3703
sym_mig	Round_4_Replicate_3	-16935.28	33878.56	39104.12	123426.68	0.7951,0.9009,0.3701,0.3702
sym_mig	Round_4_Replicate_4	-16935.3	33878.6	39101.53	123390.84	0.7949,0.9009,0.3719,0.3711
sym_mig	Round_4_Replicate_5	-16935.27	33878.54	39103.97	123419.89	0.7951,0.9011,0.37,0.3703
