
pair;no_mig;sym_mig;sec_contact_sym_mig;sec_contact_asym_mig
ppgom_pptar;-18795.738761791014;-16935.274407727116;-16913.039453146957;-16686.10031442391
cpery_cppar;-23924.050198040663;-19445.849384161284;-19001.88370735359;-19001.26982833631
